Type,Date,City,State,Address,Website_URL,Phone_Number,Details_URL
outdoor,2015-05-29,Anchorage, AK,,http://AK.milesplit.com/teams/DIMON,,http://ak.milesplit.com/meets/201789-alaska-state-track-field-championships
outdoor,2015-05-23,Clovis, CA,,http://ca.milesplit.com/teams/BUCHS,,http://co.milesplit.com/meets/190158-cif-central-section-masters
outdoor,2015-05-23,Waco, TX,,,,http://tx.milesplit.com/meets/179229-ttfca-meet-of-champions
outdoor,2015-05-23,Kansas City, MO,,http://mo.milesplit.com/teams/WIHS,,http://co.milesplit.com/meets/196209-class-4-sectional-4
outdoor,2015-05-23,Orlando, FL,,/meets/194405-golden-south-classic,,http://fl.milesplit.com/meets/194405-golden-south-classic
outdoor,2015-05-22,Jefferson City, MO,,http://mo.milesplit.com/teams/LINCU,,http://co.milesplit.com/meets/196159-mshsaa-class-1-2-state-track-championships
outdoor,2015-05-22,Shippensburg, PA,,http://PA.milesplit.com/venues/2176,,http://pa.milesplit.com/meets/191125-piaa-t-f-state-championships
outdoor,2015-05-21,Gulf Shores, AL,,http://al.milesplit.com/teams/UMOB,,http://co.milesplit.com/meets/200201-naia-outdoor-track-and-field-national-championships
outdoor,2015-05-22,Lexington, KY,,,,http://ky.milesplit.com/meets/188567-kentucky-state-track-meet
outdoor,2015-05-21,Casper, WY,,,,http://co.milesplit.com/meets/185824-wyoming-state-track-and-field-championship
outdoor,2015-05-16,Geneva, OH,,,,http://oh.milesplit.com/meets/191124-piaa-district-10-aaa-championship
outdoor,2015-05-21,Allendale, MI,,http://mi.milesplit.com/teams/GVST,,http://co.milesplit.com/meets/186837-ncaa-division-ii-track-and-field-championships
outdoor,2015-05-20,Murfreesboro, TN,,http://tn.milesplit.com/teams/TSSAA,,http://co.milesplit.com/meets/190304-tssaa-state-track-and-field-championships
outdoor,2015-05-18,Murfreesboro, TN,,http://tn.milesplit.com/teams/TSSAA,,http://co.milesplit.com/meets/190303-tssaa-state-pentathlon-decathlon-championship
outdoor,2015-05-16,Geneva, OH,,,,http://oh.milesplit.com/meets/191126-piaa-district-10-aa-championship
outdoor,2015-05-15,Columbia, SC,,,,http://co.milesplit.com/meets/184254-schsl-state-championships
outdoor,2015-05-15,Coatesville, PA,,,,http://pa.milesplit.com/meets/198023-piaa-district-1-aaa-championships
outdoor,2015-05-15,Albuquerque, NM,,,,http://co.milesplit.com/meets/198970-new-mexico-4a-6a-state-track-and-field-championships
outdoor,2015-05-15,Provo, UT,,http://UT.milesplit.com/teams/PROVO,,http://ut.milesplit.com/meets/192665-utah-state-track-and-field-championships
